Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status,Collection,Metafield: custom.sport [single_line_text_field],Metafield: custom.banner_shape [single_line_text_field],Metafield: custom.player_count [number_integer],Metafield: custom.design_tool_svg_template [single_line_text_field],Metafield: custom.design_tool_metadata [json]
softball-hem-grommet-1-player-arena-orange-2026,Softball Hem & Grommet 1 Player Arena Orange 2026,"<p>Editable Softball Hem & Grommet banner template with native SVG layers, player photo frames, editable nameplates, team logo placeholder, sport icon, and print-ready structure.</p>",Team Sport Banners,Arts & Entertainment > Party & Celebration > Banners,Softball Banner,"Softball, Hem & Grommet, 1 players, tbd:generated-placeholder, tbd:shape:rectangle, tbd:sport:softball, tbd:players:1",FALSE,Print Option,Hem & Grommet,Size,5x3,TSB-SOFTBALL-RECTANGLE-01-ARENA-ORANGE,69.99,TRUE,TRUE,/assets/sports/softball/templates/softball-hem-grommet-1-player-arena-orange-2026.svg,Softball Hem & Grommet 1 Player Arena Orange 2026 preview,DRAFT,Softball Banner Templates,softball,rectangle,1,/assets/sports/softball/templates/softball-hem-grommet-1-player-arena-orange-2026.svg,"{""sport"":""softball"",""shape"":""rectangle"",""style"":""hem-grommet"",""player_count"":1,""template_svg_path"":""/assets/sports/softball/templates/softball-hem-grommet-1-player-arena-orange-2026.svg"",""usage_status"":""generated-placeholder"",""source"":""sports-asset-system-20260525""}"
softball-hem-grommet-2-player-stadium-gold-2026,Softball Hem & Grommet 2 Player Stadium Gold 2026,"<p>Editable Softball Hem & Grommet banner template with native SVG layers, player photo frames, editable nameplates, team logo placeholder, sport icon, and print-ready structure.</p>",Team Sport Banners,Arts & Entertainment > Party & Celebration > Banners,Softball Banner,"Softball, Hem & Grommet, 2 players, tbd:generated-placeholder, tbd:shape:rectangle, tbd:sport:softball, tbd:players:2",FALSE,Print Option,Hem & Grommet,Size,5x3,TSB-SOFTBALL-RECTANGLE-02-STADIUM-GOLD,69.99,TRUE,TRUE,/assets/sports/softball/templates/softball-hem-grommet-2-player-stadium-gold-2026.svg,Softball Hem & Grommet 2 Player Stadium Gold 2026 preview,DRAFT,Softball Banner Templates,softball,rectangle,2,/assets/sports/softball/templates/softball-hem-grommet-2-player-stadium-gold-2026.svg,"{""sport"":""softball"",""shape"":""rectangle"",""style"":""hem-grommet"",""player_count"":2,""template_svg_path"":""/assets/sports/softball/templates/softball-hem-grommet-2-player-stadium-gold-2026.svg"",""usage_status"":""generated-placeholder"",""source"":""sports-asset-system-20260525""}"
softball-hem-grommet-3-player-midnight-blue-2026,Softball Hem & Grommet 3 Player Midnight Blue 2026,"<p>Editable Softball Hem & Grommet banner template with native SVG layers, player photo frames, editable nameplates, team logo placeholder, sport icon, and print-ready structure.</p>",Team Sport Banners,Arts & Entertainment > Party & Celebration > Banners,Softball Banner,"Softball, Hem & Grommet, 3 players, tbd:generated-placeholder, tbd:shape:rectangle, tbd:sport:softball, tbd:players:3",FALSE,Print Option,Hem & Grommet,Size,5x3,TSB-SOFTBALL-RECTANGLE-03-MIDNIGHT-BLUE,69.99,TRUE,TRUE,/assets/sports/softball/templates/softball-hem-grommet-3-player-midnight-blue-2026.svg,Softball Hem & Grommet 3 Player Midnight Blue 2026 preview,DRAFT,Softball Banner Templates,softball,rectangle,3,/assets/sports/softball/templates/softball-hem-grommet-3-player-midnight-blue-2026.svg,"{""sport"":""softball"",""shape"":""rectangle"",""style"":""hem-grommet"",""player_count"":3,""template_svg_path"":""/assets/sports/softball/templates/softball-hem-grommet-3-player-midnight-blue-2026.svg"",""usage_status"":""generated-placeholder"",""source"":""sports-asset-system-20260525""}"
softball-hem-grommet-4-player-angel-pink-2026,Softball Hem & Grommet 4 Player Angel Pink 2026,"<p>Editable Softball Hem & Grommet banner template with native SVG layers, player photo frames, editable nameplates, team logo placeholder, sport icon, and print-ready structure.</p>",Team Sport Banners,Arts & Entertainment > Party & Celebration > Banners,Softball Banner,"Softball, Hem & Grommet, 4 players, tbd:generated-placeholder, tbd:shape:rectangle, tbd:sport:softball, tbd:players:4",FALSE,Print Option,Hem & Grommet,Size,5x3,TSB-SOFTBALL-RECTANGLE-04-ANGEL-PINK,69.99,TRUE,TRUE,/assets/sports/softball/templates/softball-hem-grommet-4-player-angel-pink-2026.svg,Softball Hem & Grommet 4 Player Angel Pink 2026 preview,DRAFT,Softball Banner Templates,softball,rectangle,4,/assets/sports/softball/templates/softball-hem-grommet-4-player-angel-pink-2026.svg,"{""sport"":""softball"",""shape"":""rectangle"",""style"":""hem-grommet"",""player_count"":4,""template_svg_path"":""/assets/sports/softball/templates/softball-hem-grommet-4-player-angel-pink-2026.svg"",""usage_status"":""generated-placeholder"",""source"":""sports-asset-system-20260525""}"
softball-hem-grommet-6-player-varsity-red-2026,Softball Hem & Grommet 6 Player Varsity Red 2026,"<p>Editable Softball Hem & Grommet banner template with native SVG layers, player photo frames, editable nameplates, team logo placeholder, sport icon, and print-ready structure.</p>",Team Sport Banners,Arts & Entertainment > Party & Celebration > Banners,Softball Banner,"Softball, Hem & Grommet, 6 players, tbd:generated-placeholder, tbd:shape:rectangle, tbd:sport:softball, tbd:players:6",FALSE,Print Option,Hem & Grommet,Size,5x3,TSB-SOFTBALL-RECTANGLE-06-VARSITY-RED,69.99,TRUE,TRUE,/assets/sports/softball/templates/softball-hem-grommet-6-player-varsity-red-2026.svg,Softball Hem & Grommet 6 Player Varsity Red 2026 preview,DRAFT,Softball Banner Templates,softball,rectangle,6,/assets/sports/softball/templates/softball-hem-grommet-6-player-varsity-red-2026.svg,"{""sport"":""softball"",""shape"":""rectangle"",""style"":""hem-grommet"",""player_count"":6,""template_svg_path"":""/assets/sports/softball/templates/softball-hem-grommet-6-player-varsity-red-2026.svg"",""usage_status"":""generated-placeholder"",""source"":""sports-asset-system-20260525""}"
softball-hem-grommet-8-player-royal-green-2026,Softball Hem & Grommet 8 Player Royal Green 2026,"<p>Editable Softball Hem & Grommet banner template with native SVG layers, player photo frames, editable nameplates, team logo placeholder, sport icon, and print-ready structure.</p>",Team Sport Banners,Arts & Entertainment > Party & Celebration > Banners,Softball Banner,"Softball, Hem & Grommet, 8 players, tbd:generated-placeholder, tbd:shape:rectangle, tbd:sport:softball, tbd:players:8",FALSE,Print Option,Hem & Grommet,Size,5x3,TSB-SOFTBALL-RECTANGLE-08-ROYAL-GREEN,69.99,TRUE,TRUE,/assets/sports/softball/templates/softball-hem-grommet-8-player-royal-green-2026.svg,Softball Hem & Grommet 8 Player Royal Green 2026 preview,DRAFT,Softball Banner Templates,softball,rectangle,8,/assets/sports/softball/templates/softball-hem-grommet-8-player-royal-green-2026.svg,"{""sport"":""softball"",""shape"":""rectangle"",""style"":""hem-grommet"",""player_count"":8,""template_svg_path"":""/assets/sports/softball/templates/softball-hem-grommet-8-player-royal-green-2026.svg"",""usage_status"":""generated-placeholder"",""source"":""sports-asset-system-20260525""}"
softball-hem-grommet-10-player-silver-black-2026,Softball Hem & Grommet 10 Player Silver Black 2026,"<p>Editable Softball Hem & Grommet banner template with native SVG layers, player photo frames, editable nameplates, team logo placeholder, sport icon, and print-ready structure.</p>",Team Sport Banners,Arts & Entertainment > Party & Celebration > Banners,Softball Banner,"Softball, Hem & Grommet, 10 players, tbd:generated-placeholder, tbd:shape:rectangle, tbd:sport:softball, tbd:players:10",FALSE,Print Option,Hem & Grommet,Size,5x3,TSB-SOFTBALL-RECTANGLE-10-SILVER-BLACK,69.99,TRUE,TRUE,/assets/sports/softball/templates/softball-hem-grommet-10-player-silver-black-2026.svg,Softball Hem & Grommet 10 Player Silver Black 2026 preview,DRAFT,Softball Banner Templates,softball,rectangle,10,/assets/sports/softball/templates/softball-hem-grommet-10-player-silver-black-2026.svg,"{""sport"":""softball"",""shape"":""rectangle"",""style"":""hem-grommet"",""player_count"":10,""template_svg_path"":""/assets/sports/softball/templates/softball-hem-grommet-10-player-silver-black-2026.svg"",""usage_status"":""generated-placeholder"",""source"":""sports-asset-system-20260525""}"
softball-hem-grommet-12-player-electric-purple-2026,Softball Hem & Grommet 12 Player Electric Purple 2026,"<p>Editable Softball Hem & Grommet banner template with native SVG layers, player photo frames, editable nameplates, team logo placeholder, sport icon, and print-ready structure.</p>",Team Sport Banners,Arts & Entertainment > Party & Celebration > Banners,Softball Banner,"Softball, Hem & Grommet, 12 players, tbd:generated-placeholder, tbd:shape:rectangle, tbd:sport:softball, tbd:players:12",FALSE,Print Option,Hem & Grommet,Size,5x3,TSB-SOFTBALL-RECTANGLE-12-ELECTRIC-PURPLE,69.99,TRUE,TRUE,/assets/sports/softball/templates/softball-hem-grommet-12-player-electric-purple-2026.svg,Softball Hem & Grommet 12 Player Electric Purple 2026 preview,DRAFT,Softball Banner Templates,softball,rectangle,12,/assets/sports/softball/templates/softball-hem-grommet-12-player-electric-purple-2026.svg,"{""sport"":""softball"",""shape"":""rectangle"",""style"":""hem-grommet"",""player_count"":12,""template_svg_path"":""/assets/sports/softball/templates/softball-hem-grommet-12-player-electric-purple-2026.svg"",""usage_status"":""generated-placeholder"",""source"":""sports-asset-system-20260525""}"
softball-hem-grommet-15-player-sunset-maroon-2026,Softball Hem & Grommet 15 Player Sunset Maroon 2026,"<p>Editable Softball Hem & Grommet banner template with native SVG layers, player photo frames, editable nameplates, team logo placeholder, sport icon, and print-ready structure.</p>",Team Sport Banners,Arts & Entertainment > Party & Celebration > Banners,Softball Banner,"Softball, Hem & Grommet, 15 players, tbd:generated-placeholder, tbd:shape:rectangle, tbd:sport:softball, tbd:players:15",FALSE,Print Option,Hem & Grommet,Size,5x3,TSB-SOFTBALL-RECTANGLE-15-SUNSET-MAROON,69.99,TRUE,TRUE,/assets/sports/softball/templates/softball-hem-grommet-15-player-sunset-maroon-2026.svg,Softball Hem & Grommet 15 Player Sunset Maroon 2026 preview,DRAFT,Softball Banner Templates,softball,rectangle,15,/assets/sports/softball/templates/softball-hem-grommet-15-player-sunset-maroon-2026.svg,"{""sport"":""softball"",""shape"":""rectangle"",""style"":""hem-grommet"",""player_count"":15,""template_svg_path"":""/assets/sports/softball/templates/softball-hem-grommet-15-player-sunset-maroon-2026.svg"",""usage_status"":""generated-placeholder"",""source"":""sports-asset-system-20260525""}"
softball-hem-grommet-20-player-ice-white-2026,Softball Hem & Grommet 20 Player Ice White 2026,"<p>Editable Softball Hem & Grommet banner template with native SVG layers, player photo frames, editable nameplates, team logo placeholder, sport icon, and print-ready structure.</p>",Team Sport Banners,Arts & Entertainment > Party & Celebration > Banners,Softball Banner,"Softball, Hem & Grommet, 20 players, tbd:generated-placeholder, tbd:shape:rectangle, tbd:sport:softball, tbd:players:20",FALSE,Print Option,Hem & Grommet,Size,5x3,TSB-SOFTBALL-RECTANGLE-20-ICE-WHITE,69.99,TRUE,TRUE,/assets/sports/softball/templates/softball-hem-grommet-20-player-ice-white-2026.svg,Softball Hem & Grommet 20 Player Ice White 2026 preview,DRAFT,Softball Banner Templates,softball,rectangle,20,/assets/sports/softball/templates/softball-hem-grommet-20-player-ice-white-2026.svg,"{""sport"":""softball"",""shape"":""rectangle"",""style"":""hem-grommet"",""player_count"":20,""template_svg_path"":""/assets/sports/softball/templates/softball-hem-grommet-20-player-ice-white-2026.svg"",""usage_status"":""generated-placeholder"",""source"":""sports-asset-system-20260525""}"
